---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,ROI 8,ROI 8,ROI 9,ROI 9,ROI 11,ROI 11,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
17.1676995,,37585.0196,,25618.9299,,23389.1045,,35830.5816,,25224.8276,,18656.96,,32693.7718,,20696.5773,,21546.2222,,,,
17.3343595,28666.9804,,21609.8089,,19049.3433,,13431.0638,,23082.3448,,10339.2533,,22938.8993,,16211.5299,,18471.085,,,,,
17.5010948,,37686.2484,,25673.3503,,23467.2836,,36811.2057,,25261.269,,18902.8267,,32538.7383,,20637.5588,,21562.5359,,,,
17.6677545,28742.6667,,21650.9045,,19049.0448,,13393.6738,,23053.8483,,10304.9867,,22869.1007,,16245.7402,,18452.0523,,,,,
17.8344145,,37587.451,,25650.0127,,23456,,36617.3901,,25201.4897,,18961.3333,,32403.4631,,20658.0454,,21446.8235,,,,
18.0010742,28680.7843,,21675.0318,,19008.3284,,13447.2908,,23082.869,,10324.0533,,22880.6711,,16188.2392,,18459.8431,,,,,
18.1678095,,37641.6732,,25708.6369,,23443.4627,,36822.1844,,25162.4276,,18989.7867,,32645.9597,,20636.6021,,21478.2484,,,,
18.3344695,28613.6993,,21606.0127,,19087.7015,,13436.227,,23054.6759,,10292.24,,22801.1812,,16213.2784,,18442.7974,,,,,
18.5011293,,37602.6405,,25672.586,,23501.0448,,36794.2128,,25268.3034,,18902.4,,32878.0134,,20565.4763,,21606.2222,,,,
18.6677892,28611.9216,,21605.3248,,19045.0746,,13373.9858,,23067.0621,,10306.5333,,22825.3154,,16201.699,,18448.8105,,,,,
