---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
21.3344975,22577.1799,,8463.61905,,10929.7059,,60569.4266,,20357.4966,,43924.4387,,16315.773,,,,,
21.5011575,,23644.518,,11661.9048,,14726.9412,,55814.1538,,19898.2041,,38762.7613,,17808.766,,,,
21.6678172,22287.741,,8474.22222,,10911.8235,,60683.2448,,20314.3673,,43932.8774,,16348.3121,,,,,
21.834477,,23073.6978,,11650.3492,,14720.5882,,55664.8951,,19882.1769,,38801.0323,,17817.4184,,,,
22.0012125,22061.4388,,8420.06349,,10924.5,,60600.028,,20409.3333,,43898.6839,,16307.5177,,,,,
22.1678722,,23085.0935,,11623.9048,,14720.4118,,55750.0979,,19880.4898,,38776.8774,,17823.9433,,,,
22.334532,21974.1295,,8423.26984,,10930.2059,,60620.7832,,20319.1293,,43898.3226,,16300.1986,,,,,
22.501192,,22977.8129,,11618.127,,14717.5,,55733.2867,,19887.4014,,38783.8194,,17787.4326,,,,
22.6678518,22016.8633,,8405.46032,,10915.6176,,60561.8741,,20335.5918,,43840.671,,16339.8298,,,,,
22.834587,,23128.4029,,11678.4127,,14716.1176,,55763.9161,,19899.7279,,38803.5871,,17762.9787,,,,
23.001247,22076.3453,,8450.60317,,10922.5882,,60536.0839,,20401.8503,,43838.6839,,16337.5035,,,,,
23.1679068,,23254.5324,,11657.0794,,14732.9412,,55847.3287,,19918.7211,,38813.9871,,17782.0142,,,,
23.3345665,22303.7698,,8451.77778,,10927.9412,,60559.049,,20356.3537,,43933.4452,,16310.2411,,,,,
23.501302,,23315.1655,,11617.4286,,14695.5,,55793.8741,,19951.619,,38713.6774,,17791.4043,,,,
23.6679617,22491.223,,8417.11111,,10962.4706,,60572.2517,,20347.0476,,43866.2194,,16317.0496,,,,,
23.8346215,,23518.5324,,11696.4444,,14734.7059,,55754.9371,,19907.3741,,38821.0581,,17767.5177,,,,
24.0012815,22482.9065,,8434.47619,,10947.4412,,60505.7343,,20402.2585,,43902.1677,,16362.7801,,,,,
24.1679412,,23355.8273,,11700.5397,,14729.3824,,55792.8112,,19864.1361,,38744.2839,,17777.1631,,,,
24.3346765,22091.5683,,8417.30159,,10911.5,,60589.2308,,20392.0272,,43880.3613,,16322.0709,,,,,
24.5013365,,23010.8489,,11660.5397,,14748.0588,,55676.1119,,19842.7483,,38754.5548,,17778.8936,,,,
