---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
32.5017635,,16843.6259,,10439.1111,,11852.7353,,45012.2238,,16237.7959,,27554.9677,,13514.2695,,,,
32.6684235,16910.1007,,7496.34921,,8739.79412,,50767.9441,,16816.8163,,33439.329,,12219.8865,,,,,
32.8350832,,16852.3165,,10448.7619,,11922.5,,45145.9021,,16270.6122,,27549.7032,,13528.3404,,,,
33.001743,16879.8273,,7512.7619,,8747.94118,,50821.8182,,16823.2109,,33465.0323,,12200.9929,,,,,
33.1684785,,16843.4532,,10472.5714,,11897.7059,,45111.4406,,16261.9048,,27610.2452,,13534.0142,,,,
33.3351382,16905.7266,,7500.12698,,8765.61765,,50822.2098,,16834.9388,,33413.0581,,12186.6383,,,,,
33.501798,,16860.2878,,10441.746,,11907.8824,,45067.4965,,16282.9932,,27525.8839,,13507.1773,,,,
33.668458,16898.3885,,7528,,8708.91176,,50778.4336,,16807.619,,33369.7806,,12180.8794,,,,,
33.8351178,,16877.295,,10409.6508,,11896.8529,,45131.1329,,16269.4694,,27510.9161,,13485.305,,,,
34.001853,16900.9784,,7504.98413,,8744.91176,,50811.2727,,16808.9796,,33452.2581,,12183.8014,,,,,
34.168513,,16841.0935,,10417.4286,,11880.9706,,45152.8392,,16283.8095,,27580.2065,,13489.1631,,,,
34.3351727,16910.5899,,7482.44444,,8763,,50818.993,,16847.7007,,33438.529,,12219.8298,,,,,
34.5018325,,16851.223,,10462.0952,,11910.7059,,45061.6224,,16306.3946,,27543.8968,,13522.7518,,,,
