---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 4,ROI 4,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),Isosbestic,GCaMP,Isosbestic,GCaMP,Isosbestic,GCaMP,Isosbestic,GCaMP,Isosbestic,GCaMP,-,-,-,-
35.9905,,14977.6403,,11977.6825,,12654.5294,,16408.7347,,13509.7872,,,,
36.1572,15458.5899,,7560.19048,,8362.58824,,14677.1429,,10073.1915,,,,,
36.3239,,14994.1295,,11966.6349,,12694.5588,,16417.3333,,13493.9858,,,,
36.4905,15479.1942,,7553.93651,,8396.82353,,14703.3197,,10104.8227,,,,,
36.6572,,14960.5755,,12013.2698,,12676.9412,,16387.2381,,13483.6596,,,,
36.8239,15504.9496,,7542.85714,,8372.82353,,14655.2109,,10091.6879,,,,,
36.9906,,14961.3237,,12012.0317,,12678.7941,,16347.4014,,13486.2695,,,,
37.1572,15493.1223,,7555.20635,,8382.73529,,14684.1905,,10058.2411,,,,,
37.324,,14840.8058,,12022.254,,12671.5,,16375.2109,,13434.3262,,,,
37.4906,15310.5899,,7527.55556,,8353.44118,,14689.3878,,10045.617,,,,,
37.6573,,14762.3597,,12014.6667,,12625,,16372.4898,,13375.6028,,,,
37.8239,15292.8921,,7576.69841,,8348.85294,,14673.4422,,10070.3262,,,,,
37.9906,,14792.1439,,12009.4286,,12691.2059,,16333.0612,,13422.8936,,,,
38.1573,15398.446,,7573.46032,,8406.85294,,14695.8095,,10070.7234,,,,,
38.324,,14939.5683,,11953.8413,,12667.1471,,16355.8095,,13477.1915,,,,
38.4907,15637.5252,,7539.61905,,8379.29412,,14659.5918,,10084.7092,,,,,
38.6573,,14908.518,,11994.3492,,12717.2647,,16356.1361,,13432.5106,,,,
38.8241,15545.4964,,7560.03175,,8384.47059,,14688.9252,,10092.3121,,,,,
38.9907,,14930.6475,,11936.9841,,12686.1471,,16405.0884,,13428.8794,,,,
39.1574,15547.8273,,7575.46032,,8382.11765,,14684.6803,,10096.2553,,,,,
39.324,,15015.0504,,11955.4603,,12679.4412,,16373.1701,,13458.0709,,,,
39.4907,15548.3453,,7563.42857,,8372.70588,,14666.9388,,10099.0638,,,,,
39.6574,,14917.8993,,12018.8571,,12691.0882,,16360.4082,,13470.5248,,,,
39.8241,15489.3237,,7571.33333,,8368.79412,,14683.7279,,10085.3901,,,,,
39.9907,,14971.223,,12000.381,,12720.1471,,16388.4082,,13470.0709,,,,
40.1574,15443.8849,,7556.34921,,8366.02941,,14661.4422,,10055.9433,,,,,
40.3241,,14957.6691,,11949.873,,12695.5,,16369.0612,,13463.7447,,,,
40.4908,15593.6403,,7540.57143,,8381.88235,,14669.4422,,10069.3901,,,,,
40.6575,,15068.7194,,11958.4444,,12685.1765,,16368.2449,,13462.5532,,,,
40.8241,15722.9928,,7553.77778,,8399.58824,,14659.8367,,10059.3475,,,,,
40.9908,,14923.7986,,11962.7937,,12697.4118,,16381.8503,,13412.6809,,,,
41.1575,15403.0504,,7580.79365,,8382.05882,,14680.898,,10095.0922,,,,,
41.3242,,14869.8129,,11999.3968,,12690.7647,,16320.2721,,13462.156,,,,
41.4908,15375.7698,,7544.7619,,8382.44118,,14655.5918,,10078.922,,,,,
41.6575,,14970.0144,,11973.0476,,12684.4706,,16379.3197,,13461.9574,,,,
41.8242,15573.6115,,7552.53968,,8401.5,,14654.2585,,10112.1418,,,,,
41.9909,,14999.5971,,11994.2222,,12730.0588,,16332.6803,,13498.4681,,,,
42.1575,15430.3022,,7560.60317,,8404.76471,,14633.0068,,10133.1064,,,,,
42.3242,,14934.2734,,11961.0794,,12665.2353,,16411.2925,,13480.7376,,,,
42.4909,15637.3813,,7548.7619,,8363.85294,,14710.6667,,10098.8369,,,,,
42.6575,,15147.9712,,11961.9683,,12685.3824,,16380.6803,,13477.9007,,,,
42.8243,15865.3525,,7593.74603,,8402.67647,,14710.966,,10107.2057,,,,,
42.9909,,15138.3022,,11958.8889,,12734.4412,,16356.2177,,13439.0922,,,,
43.1576,15623.6259,,7572.57143,,8409.23529,,14662.585,,10093.305,,,,,
43.3242,,15028.2014,,11994.3492,,12695.0588,,16373.0068,,13458.922,,,,
43.491,15593.2374,,7579.90476,,8372.82353,,14686.2041,,10077.3901,,,,,
43.6576,,15056.3453,,11994.7302,,12702.6471,,16370.7211,,13481.0213,,,,
43.8243,15576.8345,,7553.87302,,8369.23529,,14716.0272,,10061.4468,,,,,
43.991,,15003.741,,11979.2381,,12700.9706,,16352.517,,13445.3901,,,,
44.1576,15671.8849,,7565.30159,,8403.79412,,14720.381,,10108.9362,,,,,
44.3244,,14986.8201,,11977.6508,,12690.0294,,16370.7755,,13514.6099,,,,
44.491,15644.3741,,7547.52381,,8385.08824,,14659.3197,,10103.6596,,,,,
44.6577,,14998.9065,,11975.6508,,12686.9118,,16393.4966,,13472.4823,,,,
44.8243,15635.7986,,7542.38095,,8390.85294,,14673.2517,,10058.8652,,,,,
44.991,,15065.7554,,12014.381,,12681,,16383.1837,,13501.7589,,,,
45.1577,15633.8129,,7569.07937,,8380.29412,,14679.6735,,10090.2979,,,,,
45.3244,,15047.5108,,11956.9841,,12707.7353,,16362.3946,,13450.7234,,,,
45.491,15661.3525,,7569.26984,,8372.08824,,14717.8231,,10094.5816,,,,,
45.6577,,15022.7914,,12005.7778,,12745.3824,,16353.3061,,13497.7872,,,,
45.8244,15539.9424,,7575.14286,,8382.67647,,14712.0272,,10071.7447,,,,,
45.9911,,14978.6475,,11979.4603,,12675.5882,,16318.3129,,13482.0993,,,,
46.1578,15596.6906,,7568.09524,,8400.61765,,14717.8503,,10085.5603,,,,,
46.3244,,15033.6978,,11962.5397,,12692.7941,,16321.3061,,13516.6809,,,,
46.4911,15653.6115,,7574.88889,,8379.70588,,14696.1905,,10077.2199,,,,,
46.6578,,15097.5827,,11953.1746,,12708.2059,,16387.0748,,13446.2695,,,,
46.8245,15618.3022,,7590.34921,,8388.85294,,14708.2721,,10103.9716,,,,,
46.9911,,15099.1655,,11933.1429,,12646.7941,,16389.6327,,13490.383,,,,
47.1578,15666.1295,,7560.69841,,8363.32353,,14703.2653,,10127.8298,,,,,
47.3245,,15020.1727,,11945.8413,,12705.6471,,16366.0408,,13499.0638,,,,
47.4912,15642.2734,,7584.28571,,8390.88235,,14687.102,,10082.3546,,,,,
47.6579,,15043.9137,,12008.6349,,12673.8235,,16321.2517,,13449.7021,,,,
47.8245,15586.3022,,7579.1746,,8391.64706,,14681.0612,,10087.3475,,,,,
47.9912,,15047.1942,,12038.0317,,12680.2353,,16371.3741,,13490.6667,,,,
48.1579,15618.8201,,7565.96825,,8404.35294,,14650.9116,,10101.3901,,,,,
48.3246,,15128.3453,,12024.3492,,12705.0588,,16339.8912,,13466.8085,,,,
48.4912,15593.1799,,7577.2381,,8399.82353,,14653.3333,,10076.0284,,,,,
48.6579,,15038.5612,,12008.254,,12699.7353,,16416.7075,,13447.5177,,,,
48.8245,15685.3237,,7598.53968,,8409.11765,,14706.449,,10138.4681,,,,,
48.9913,,15120.8921,,11988.4444,,12705.1471,,16370.6395,,13489.8156,,,,
49.1579,15783.8561,,7563.39683,,8399.11765,,14652.7347,,10080.7092,,,,,
49.3246,,14989.2662,,12018.7302,,12723.2353,,16372.517,,13460.7092,,,,
49.4913,15440.4317,,7567.2381,,8358.5,,14672.8435,,10051.461,,,,,
49.6579,,14924.0863,,11982.8889,,12689.7647,,16345.0068,,13498.4113,,,,
49.8247,15592.9784,,7573.46032,,8375.85294,,14662.6395,,10109.4752,,,,,
49.9913,,15002.5612,,12015.5873,,12678.8235,,16362.2585,,13447.234,,,,
50.158,15547.7986,,7563.55556,,8405.08824,,14688.4626,,10091.0071,,,,,
50.3246,,15016.6043,,11974.8254,,12701.8235,,16393.8776,,13476.8794,,,,
50.4914,15563.0791,,7599.01587,,8362.05882,,14676.1088,,10111.1773,,,,,
50.658,,14971.3669,,11983.7778,,12721.5294,,16352.2449,,13516.6241,,,,
50.8247,15534.446,,7587.80952,,8378.47059,,14676.0816,,10135.234,,,,,
50.9914,,14992.2014,,11979.4286,,12733.9118,,16353.1156,,13437.6454,,,,
51.158,15475.6259,,7581.52381,,8334.82353,,14620.0544,,10126.9504,,,,,
